Default channel group,Data driven path attributed conversions,Conversions,Purchase revenue,Days to conversion,Touchpoints to conversion
"[""Cross-network""]",NaN,1204296,1061785.684,2.037243336,1
"[""Paid Video""]",NaN,624123,166220.7022,0.318249768,1
"[""Direct""]",NaN,371243,6259665.194,0,1
"[""Paid Search""]",NaN,282890,1484551.591,2.68794231,1.07090035
"[""Cross-network"",""Cross-network""]",NaN,251192,273585.8938,12.17409392,2
"[""Unassigned""]",NaN,104808,3079.999996,0.055949927,1.000104954
"[""Cross-network"",""Cross-network"",""Cross-network""]",NaN,75845,109115.5487,14.90016481,3
"[""Paid Video"",""Paid Video""]",NaN,64396,8582.996927,5.276632089,2
"[""Display""]",NaN,60100,69194.59859,6.590998336,1.000266223
"[""Paid Search"",""Paid Search""]",NaN,59691,573807.7867,8.897957816,2.081720862
"[""Unassigned"",""Unassigned"",""Unassigned""]",NaN,59302,5329.997281,0.515733028,3.000050589
"[""Unassigned"",""Unassigned""]",NaN,57611,16379.99614,0.378261096,2.000277725
"[""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,48507,0,0.076957965,6
"[""Organic Search"",""Organic Search""]",NaN,44923,948684.9673,2.506934087,2.083988158
"[""Cross-network"",""Paid Video""]",NaN,40894,17709.07107,26.34479386,2
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,33027,130199.6387,14.35658703,4
"[""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,30188,27400.09818,0.081820591,4
"[""Paid Search"",""Cross-network""]",NaN,29545,100332.8786,9.262040954,2
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,28606,3849.998434,1.43476893,5
"[""Paid Search"",""Paid Search"",""Paid Search""]",NaN,25451,254263.9932,10.92090684,3.058229539
"[""Organic Search""]",NaN,24724,373551.9457,1.959472577,1.088052095
"[""Organic Video""]",NaN,23110,45686.6004,0.478147988,1.042795327
"[""Organic Search"",""Organic Search"",""Organic Search""]",NaN,21788,273048.0173,2.666743161,3.148154948
"[""Paid Other""]",NaN,21569,1200.000108,0.0484028,1
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,21054,5169.996104,1.848627339,4
"[""Paid Video"",""Cross-network""]",NaN,20544,17356.27899,10.22025896,2
"[""Paid Search"",""Organic Search"",""Organic Search""]",NaN,18355,145814.5579,2.726995369,4.096268047
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,18257,303046.2045,4.891165033,4.371583502
"[""Cross-network"",""Paid Search""]",NaN,17393,133998.6564,27.29782096,2
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,16429,1049.999366,2.036642522,6.003652079
